iter	Passed	Remaining
0	0	58
1	1	51
2	1	48
3	1	44
4	2	43
5	2	42
6	3	41
7	3	41
8	4	41
9	4	40
10	4	40
11	5	39
12	5	38
13	6	38
14	6	38
15	7	38
16	7	37
17	8	37
18	8	36
19	8	35
20	9	35
21	9	34
22	10	34
23	10	34
24	11	33
25	11	33
26	12	32
27	12	32
28	13	31
29	13	31
30	13	31
31	14	30
32	14	30
33	15	29
34	15	29
35	16	28
36	16	28
37	17	27
38	17	27
39	17	26
40	18	26
41	18	25
42	18	25
43	19	24
44	19	24
45	20	23
46	20	23
47	21	22
48	21	22
49	21	21
50	22	21
51	22	21
52	23	20
53	23	20
54	24	19
55	24	19
56	24	18
57	25	18
58	25	17
59	26	17
60	26	17
61	27	16
62	27	16
63	27	15
64	28	15
65	28	14
66	29	14
67	29	14
68	30	13
69	30	13
70	31	12
71	31	12
72	32	11
73	32	11
74	33	11
75	33	10
76	34	10
77	34	9
78	35	9
79	35	8
80	35	8
81	36	7
82	36	7
83	37	7
84	37	6
85	38	6
86	38	5
87	39	5
88	39	4
89	39	4
90	40	3
91	40	3
92	41	3
93	41	2
94	42	2
95	42	1
96	43	1
97	43	0
98	44	0
99	44	0
